	时间		功率	工作频点	调制方式	码率	扩频倍数		带宽		速率			正确率
【2023-4-13 17:35:04】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:05】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:06】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:07】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:08】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:09】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:10】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:11】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:12】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:13】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:14】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:15】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:16】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:17】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:18】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:19】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:20】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:21】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:22】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:23】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:24】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:25】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:26】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:27】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:28】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:29】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:30】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:31】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:32】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:33】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:34】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:35】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:36】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:37】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:38】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:39】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:40】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:41】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:42】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:43】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:44】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
【2023-4-13 17:35:45】：	20dbm	1370MHz 	 BPSK	2/3	256倍扩频 	20M		0.04090 Mb/s		100.0%
